ФИО,Дата рождения,Адрес доставки,Дата оплаты,Валюта,Сумма
Петровская Вероника Михайловна,1981-06-02,"127254, Москва г, Добролюбова ул, дом  19",2021-12-01,USD,45.17
Мухина Елизавета Максимовна,1983-12-22,"143302, Московская обл, Наро-Фоминский р-н, Наро-Фоминск г, Войкова ул, дом  3",2021-04-29,USD,265.01
Смирнова Лидия Елисеевна,1964-06-10,"141075, Московская обл, Королев г, Горького ул, дом  79, корпус  15",2021-08-31,EUR,762.3
Жилин Виктор Григорьевич,1964-03-03,"123056, Москва г, Грузинская Б. ул, дом  62",2021-05-13,RUB,22002.87
Новикова Александра Артёмовна,1980-10-14,"109443, Москва г, Юных Ленинцев ул, дом  73",2021-08-31,RUB,90823.14
Сомов Савелий Тимурович,1999-01-02,"140180, Московская обл, Жуковский г, Мясищева ул, дом  4А",2021-08-23,EUR,2049.65
Кириллова Алиса Александровна,2000-06-02,"117437, Москва г, Профсоюзная ул, дом  104",2021-07-15,RUB,23641.69
Горшкова Тамара Ильинична,1994-10-07,"123290, Москва г, Шелепихинская наб, дом  14",2021-12-09,RUB,94073.05
Трофимова Сафия Сергеевна,1984-05-16,"143006, Московская обл, Одинцовский р-н, Одинцово г, Глазынинская ул, дом  2",2021-01-21,RUB,84411.89
Антонов Михаил Фёдорович,1958-09-26,"129323, Москва г, Снежная ул, дом  14, корпус  1",2021-08-05,RUB,59080.26
Лебедев Кирилл Миронович,1985-12-01,"141421, Московская обл, Химки г, Сходня мкр, Железнодорожная ул, дом  33, корпус  1",2021-05-17,RUB,144226.94
Смирнова Эмилия Алексеевна,1978-03-15,"198188, Санкт-Петербург г, Васи Алексеева ул, дом ",2021-11-13,RUB,100485.46
Лебедев Даниил Адамович,1966-11-19,"121087, Москва г, Тучковская ул, дом  6",2021-06-24,RUB,88810.58
Морозов Александр Владимирович,1952-05-13,"143500, Московская обл, Истринский р-н, Истра г, Босова ул, дом  8",2021-03-19,USD,217.33
Гаврилова Мария Александровна,1956-10-12,"142408, Московская обл, Ногинский р-н, Ногинск г, Поселковая ул, дом  8",2021-02-22,RUB,6435.26
Смирнова Лидия Елисеевна,1964-06-10,"107258, Москва г, Погонный проезд, дом  48",2021-03-18,RUB,15701.79
Казаков Михаил Фёдорович,1970-11-08,"171256, Тверская обл, Конаковский р-н, Конаково г, Пригородная ул, дом  5-29",2021-06-19,USD,1214.01
Емельянов Артемий Егорович,1998-12-02,"115470, Москва г, Нагатинская наб, дом  44, корпус  1",2021-09-21,RUB,52820.63
Потапов Лев Эмирович,1995-01-11,"117437, Москва г, Островитянова ул, дом  11",2021-10-23,RUB,95785.33
Нестерова Мария Германовна,1994-09-23,"127224, Москва г, Северодвинская ул, дом  19",2021-09-24,RUB,50732.59
Борисова Малика Тимофеевна,1996-04-16,"117218, Москва г, Черемушкинская Б. ул, дом  24, корпус  1",2021-03-26,RUB,126810.16
Соловьев Артём Михайлович,1975-10-10,"111396, Москва г, Свободный пр-кт, дом  39, корпус  1",2021-08-05,RUB,71885.26
Кузнецов Матвей Ярославович,1975-06-23,"142605, Московская обл, Орехово-Зуево г, Черепнина проезд, дом  1",2021-08-13,RUB,120825.66
Мартынова Мария Константиновна,1957-05-19,"142507, Московская обл, Павлово-Посадский р-н, Павловский Посад г, Кузьмина ул, дом  11",2021-11-26,EUR,316.42
Емельянов Артемий Егорович,1998-12-02,"127204, Москва г, Северная 9-я линия, дом  1, корпус ",2021-09-16,RUB,98443.89
Егорова Арина Алиевна,1997-06-06,"125130, Москва г, Клары Цеткин ул, дом  33, корпус  ",2021-09-16,RUB,32642.13
Харитонова Серафима Глебовна,1975-01-31,"198206, Санкт-Петербург г, Пионерстроя ул, дом  15, корпус  1",2021-11-02,USD,1474.44
Никифорова Алина Сергеевна,1958-06-16,"125212, Москва г, Ленинградское ш, дом  25, корпус  2",2021-09-13,RUB,45314.12
Ананьева Алиса Тимофеевна,1973-02-04,"195027, Санкт-Петербург г, Большеохтинский пр-кт, дом  1, корпус  1",2021-04-30,EUR,544.22
Пономарева Александра Артёмовна,1999-12-14,"117216, Москва г, Грина ул, дом  9",2021-01-12,USD,68.0
Соболева София Никитична,1950-08-09,"142455, Московская обл, Ногинский р-н, Электроугли г, Школьная ул, дом  38",2021-06-05,USD,163.59
Блохин Даниил Ильич,1977-11-23,"693006, Сахалинская обл, Южно-Сахалинск г, Мира пр-кт, дом  190 А",2021-06-06,RUB,42074.45
Алексеева Виктория Ивановна,1985-07-06,"129226, Москва г, Сельскохозяйственная ул, дом  14, корпус  1",2021-06-23,USD,2698.62
Рыжова Аврора Давидовна,1972-10-25,"115193, Москва г, Кожуховская 7-я ул, дом  10, корпус  1",2021-04-01,USD,330.73
Серебряков Михаил Романович,2001-11-14,"105425, Москва г, Парковая 3-я ул, дом  39, корпус  2",2021-09-29,RUB,60054.59
Шишкин Даниэль Ильич,1965-07-15,"115573, Москва г, Ореховый проезд, дом  11",2021-02-12,RUB,79650.73
Покровская Ангелина Михайловна,1966-03-12,"117403, Москва г, Харьковская ул, дом  1, корпус  5",2021-01-12,RUB,30810.6
Седов Глеб Фёдорович,1967-10-27,"198264, Санкт-Петербург г, Ветеранов пр-кт, дом  171, корпус  5",2021-05-06,RUB,93072.34
Ананьева Алиса Тимофеевна,1973-02-04,"109125, Москва г, Саратовская ул, дом  14, корпус  1",2021-01-17,EUR,326.91
Соловьев Никита Артёмович,1994-09-14,"197101, Санкт-Петербург г, Большая Монетная ул, дом  18",2021-06-21,RUB,137273.39
Федорова Александра Алексеевна,1990-05-02,"198217, Санкт-Петербург г, Танкиста Хрустицкого ул, дом  116",2021-04-08,RUB,67430.04
Измайлова Ольга Михайловна,1968-04-08,"111673, Москва г, Суздальская ул, дом  12, корпус  1",2021-07-07,RUB,33126.18
Кулаков Даниэль Викторович,1961-12-28,"191025, Санкт-Петербург г, Стремянная ул, дом  19",2021-01-27,RUB,41788.9
Козлова Ника Алексеевна,1993-02-11,"197341, Санкт-Петербург г, Королева пр-кт, дом  19",2021-11-30,RUB,151361.34
Островская Вера Ивановна,1972-10-05,"109469, Москва г, Белореченская ул, дом  38, корпус  1",2021-01-17,RUB,58641.47
Алексеева Виктория Ивановна,1985-07-06,"115580, Москва г, Кустанайская ул, дом  6, корпус  3",2021-03-02,RUB,78314.95
Зуев Игорь Олегович,1964-09-08,"117463, Москва г, Голубинская ул, дом  29, корпус  1",2021-11-08,USD,1141.85
Захарова Анастасия Кирилловна,1988-01-28,"117556, Москва г, Болотниковская ул, дом  6, корпус  Б",2021-12-13,RUB,142544.87
Смирнова Анна Адамовна,1970-07-05,"115407, Москва г, Нагатинская наб, дом  70",2021-03-12,RUB,50417.51
Яшин Александр Михайлович,1966-08-27,"143180, Московская обл, Звенигород г, Южный мкр, Радужная ул, дом  12",2021-10-22,EUR,1600.71
Добрынина Мария Романовна,1986-03-06,"123242, Москва г, Кудринская пл, дом  1",2021-09-14,RUB,38848.99
Морозова Виктория Данииловна,1969-07-16,"127287, Москва г, Хуторская 1-я ул, дом  5",2021-12-15,RUB,31941.73
Щербакова Эмилия Елисеевна,1966-09-06,"123242, Москва г, Кудринская пл, дом  1",2021-10-05,RUB,14805.25
Щербаков Андрей Демидович,1965-08-13,"198330, Санкт-Петербург г, Маршала Захарова ул, дом  60",2021-08-03,RUB,76437.79
Плотникова Мария Елисеевна,1965-06-28,"127549, Москва г, Алтуфьевское ш, дом  64",2021-03-15,RUB,17840.03
Авдеев Арсений Захарович,1958-06-17,"141107, Московская обл, Щелковский р-н, Щелково г, Неделина ул, дом  4",2021-04-08,USD,611.74
Гаврилова Мария Александровна,1956-10-12,"192283, Санкт-Петербург г, Будапештская ул, дом  87, корпус  2",2021-04-16,RUB,22173.95
Попов Фёдор Иванович,1952-04-26,"121354, Москва г, Кубинка ул, дом  10",2021-01-06,USD,110.45
Гусев Ярослав Георгиевич,1965-05-10,"198206, Санкт-Петербург г, Петергофское ш, дом  59",2021-12-16,RUB,62469.49
Измайлова Ольга Михайловна,1968-04-08,"141623, Московская обл, Клинский р-н, Климовка д, 1 кв-л, дом  65",2021-04-29,RUB,12512.23
Васильев Фёдор Тимурович,1972-07-24,"123592, Москва г, Кулакова ул, дом  21",2021-09-02,RUB,42088.83
Смирнова Надежда Макаровна,1971-05-26,"194100, Санкт-Петербург г, Новолитовская ул, дом  10, корпус  1",2021-02-02,RUB,31561.94
Соболева Анна Кирилловна,1961-09-05,"121069, Москва г, Молчановка Б. ул, дом  23, корпус  2",2021-07-27,RUB,62439.85
Ушаков Иван Артемьевич,1995-08-23,"195271, Санкт-Петербург г, Кондратьевский пр-кт, дом  64, корпус  4",2021-01-16,RUB,56243.66
Козлова Есения Владимировна,1969-10-24,"142116, Московская обл, Подольск г, Барамзиной ул, дом  3, корпус  1",2021-04-28,RUB,48882.36
Мартынова Мария Константиновна,1957-05-19,"117570, Москва г, Красного Маяка ул, дом  17, корпус  2",2021-12-30,RUB,34433.58
Злобин Матвей Елисеевич,1975-06-23,"121353, Москва г, Беловежская ул, дом  39, корпус  5",2021-12-09,EUR,757.63
Савицкая Ева Григорьевна,1982-01-13,"127006, Москва г, Долгоруковская ул, дом  40",2021-12-27,RUB,108875.49
Козлова Агния Максимовна,1985-12-10,"129110, Москва г, Переяславская М. ул, дом  10",2021-03-16,EUR,990.08
Михайлова Василиса Романовна,1962-01-01,"119602, Москва г, Академика Анохина ул, дом  34, корпус ",2021-10-07,RUB,21072.69
Воронина Анастасия Павловна,1964-03-11,"197373, Санкт-Петербург г, Плесецкая ул, дом  10, корпус  1",2021-06-21,EUR,750.46
Виноградов Тимофей Иванович,1955-06-03,"192076, Санкт-Петербург г, Прибрежная ул, дом  4",2021-03-22,RUB,11184.56
Спиридонова Дарья Эмильевна,1965-08-08,"117216, Москва г, Куликовская ул, дом  9, корпус  1",2021-03-03,RUB,24667.65
Кондратьев Максим Саввич,1994-02-20,"123317, Москва г, Стрельбищенский пер, дом  5",2021-06-28,RUB,150266.66
Добрынина Мария Романовна,1986-03-06,"194291, Санкт-Петербург г, Культуры пр-кт, дом  12, корпус  1",2021-05-21,EUR,957.67
Власов Даниил Дмитриевич,1992-08-27,"194356, Санкт-Петербург г, Хошимина ул, дом  9, корпус  1",2021-05-04,EUR,3282.45
Баженова Нина Мироновна,1991-10-15,"127221, Москва г, Шокальского проезд, дом  31, корпус  1",2021-07-13,RUB,71332.54
Муравьева Анастасия Тимофеевна,1995-05-04,"127560, Москва г, Лескова ул, дом  30",2021-02-11,RUB,82509.86
Панин Лев Андреевич,1981-04-09,"117648, Москва г, Чертаново Северное мкр, дом  4, корпус  401",2021-12-02,RUB,99443.07
Климов Андрей Филиппович,1998-12-06,"121351, Москва г, Кунцевская ул, дом ",2021-04-23,USD,792.51
Парфенов Артём Демидович,1974-05-13,"109651, Москва г, Новочеркасский б-р, дом ",2021-04-03,EUR,1389.02
Чернышев Григорий Матвеевич,1997-10-20,"117437, Москва г, Миклухо-Маклая ул, дом  18/1",2021-04-15,EUR,1742.91
Власова Виктория Святославовна,1964-05-16,"115088, Москва г, Крутицкая наб, дом  11",2021-03-25,EUR,176.53
Сорокина Варвара Ивановна,1985-09-25,"115573, Москва г, Шипиловская ул, дом  44/27",2021-06-01,USD,1293.91
Лукьянова Алиса Кирилловна,1982-04-12,"141613, Московская обл, Клинский р-н, Клин г, Чайковского ул, дом  105, корпус  2",2021-05-12,RUB,75710.24
Островская Вера Ивановна,1972-10-05,"127081, Москва г, Полярная ул, дом  13, корпус  4",2021-06-04,RUB,26823.97
Щеглов Руслан Александрович,2000-06-25,"107031, Москва г, Петровка ул, дом  5",2021-11-26,RUB,183145.01
Жуков Сергей Ярославович,1978-12-04,"123242, Москва г, Волков пер, дом  17",2021-03-15,RUB,87560.04
Морозов Александр Владимирович,1952-05-13,"193315, Санкт-Петербург г, Дальневосточный пр-кт, дом  60",2021-04-30,RUB,31981.92
Кулешова Ксения Михайловна,1996-07-15,"121596, Москва г, Запорожская ул, дом  6",2021-01-15,EUR,210.86
Морозова Виктория Данииловна,1969-07-16,"105043, Москва г, Первомайская ул, дом  51/23",2021-01-09,RUB,26287.09
Трофимова Амина Никитична,1950-03-13,"119619, Москва г, Производственная ул, дом  4, корпус ",2021-02-10,RUB,13411.27
Дмитриева Анастасия Николаевна,1995-04-21,"119121, Москва г, Вражский 1-й пер, дом  4",2021-12-21,USD,30.14
Злобина Анна Матвеевна,1999-10-09,"115522, Москва г, Пролетарский пр-кт, дом  13",2021-08-02,RUB,72858.12
Кравцова Варвара Макаровна,1968-03-03,"192102, Санкт-Петербург г, Волковский пр-кт, дом  3",2021-05-13,RUB,66224.38
Васильев Роман Даниилович,1977-02-05,"125481, Москва г, Фомичевой ул, дом  14, корпус  2",2021-11-02,USD,1748.66
Леонов Марк Михайлович,1967-02-19,"109548, Москва г, Кухмистерова ул, дом  3, корпус  1",2021-01-26,RUB,81057.84
Литвинова Маргарита Макаровна,1964-03-18,"123290, Москва г, Шелепихинская наб, дом  34",2021-08-17,RUB,21590.1
Сомов Савелий Тимурович,1999-01-02,"125363, Москва г, Фабрициуса ул, дом  9",2021-11-13,RUB,49359.31
Давыдова Виктория Андреевна,1996-05-12,"121353, Москва г, Беловежская ул, дом  81",2021-02-16,RUB,61245.03
Карпова Ульяна Матвеевна,1988-08-05,"197375, Санкт-Петербург г, Суздальское ш, дом  30, корпус  2 стр 1",2021-04-07,EUR,1060.33
Владимиров Александр Романович,1956-10-08,"123103, Москва г, Маршала Тухачевского ул, дом  55",2021-05-05,EUR,1069.66
Осипова Ксения Викторовна,1995-11-27,"142117, Московская обл, Подольск г, Октябрьский пр-кт, дом  7А",2021-04-21,RUB,41623.15
Смирнова Надежда Макаровна,1971-05-26,"192238, Санкт-Петербург г, Бухарестская ул, дом  78",2021-09-20,USD,745.63
Харитонов Елисей Русланович,1996-05-26,"125252, Москва г, Березовой Рощи проезд, дом  4",2021-02-04,RUB,23859.13
Попов Даниил Степанович,1972-06-22,"117556, Москва г, Болотниковская ул, дом  9",2021-06-18,RUB,108328.49
Рыжов Святослав Владимирович,1984-09-09,"109125, Москва г, Саратовская ул, дом  14, корпус  1",2021-05-20,RUB,80984.39
Румянцева Елена Константиновна,1969-12-25,"117042, Москва г, Горчакова ул, дом  5",2021-01-20,RUB,25046.85
Кулаков Даниэль Викторович,1961-12-28,"125475, Москва г, Петрозаводская ул, дом  28, корпус  4",2021-12-04,RUB,114539.23
Быков Андрей Александрович,1975-06-03,"117216, Москва г, Дмитрия Донского б-р, дом  18/4",2021-05-31,EUR,585.71
Савельев Матвей Егорович,1976-10-23,"194358, Санкт-Петербург г, Композиторов ул, дом  33/5",2021-08-13,USD,2684.99
Румянцева Елена Константиновна,1969-12-25,"109469, Москва г, Краснодарская ул, дом  76",2021-11-24,RUB,69617.62
Петровская Алина Ивановна,1980-11-27,"199406, Санкт-Петербург г, Гаванская ул, дом  49, корпус  2",2021-10-05,RUB,31868.72
Щербаков Пётр Егорович,1960-04-25,"198264, Санкт-Петербург г, Ветеранов пр-кт, дом  171, корпус  5",2021-03-25,RUB,13938.04
Островская Лия Тимофеевна,1984-04-15,"127106, Москва г, Алтуфьевское ш, дом  13, корпус  2",2021-07-22,RUB,148746.73
Козлов Сергей Макарович,1977-12-05,"197349, Санкт-Петербург г, Сизова пр-кт, дом  21",2021-06-07,RUB,66279.98
Петрова Алия Ильинична,1950-09-29,"119501, Москва г, Веерная ул, дом  14, корпус  2",2021-03-15,USD,114.98
Савельева Нина Александровна,1979-11-28,"249032, Калужская обл, Обнинск г, Курчатова ул, дом  35/1",2021-04-28,RUB,81669.72
Смирнов Александр Максимович,1983-01-12,"694051, Сахалинская обл, Долинский р-н, Долинск г, Пионерская ул, дом  4Б",2021-02-19,USD,550.46
Румянцева Елена Константиновна,1969-12-25,"121353, Москва г, Беловежская ул, дом  81",2021-03-22,RUB,33345.9
Царев Владимир Иванович,1966-05-30,"117534, Москва г, Кировоградская ул, дом  44А, корпус  2",2021-04-08,RUB,39383.53
Овчинникова Алина Ильинична,1987-11-12,"141321, Московская обл, Сергиево-Посадский р-н, Краснозаводск г, 40 лет Победы ул, дом  9",2021-04-16,RUB,47765.78
Кузнецов Макар Максимович,1978-10-23,"127349, Москва г, Алтуфьевское ш, дом  86",2021-04-13,RUB,16077.72
Родионова Лейла Викторовна,1995-02-19,"107258, Москва г, Игральная ул, дом  4",2021-03-16,RUB,41859.29
Калмыкова Алиса Николаевна,1958-10-09,"198320, Санкт-Петербург г, Красное Село г, Кингисеппское ш, дом  50",2021-05-04,RUB,52110.12
Фокина Ева Данииловна,1982-03-12,"198515, Санкт-Петербург г, Стрельна п, Красносельское ш, дом ",2021-01-05,USD,270.22
Морозова Ева Юрьевна,1963-05-19,"195253, Санкт-Петербург г, Маршала Тухачевского ул, дом  13",2021-01-22,USD,308.45
Беляев Дмитрий Степанович,1970-04-17,"195297, Санкт-Петербург г, Суздальский пр-кт, дом  95",2021-10-11,RUB,88373.3
Калинина Амина Арсентьевна,1988-08-30,"109456, Москва г, Яснополянская ул, дом  7, корпус  2",2021-05-17,RUB,46121.91
Алексеева Александра Семёновна,1986-08-16,"196210, Санкт-Петербург г, Штурманская ул, дом  34",2021-08-01,RUB,48869.5
Леонтьева Анастасия Александровна,1977-02-16,"117279, Москва г, Введенского ул, дом  22, корпус  2",2021-12-08,RUB,147887.43
Афанасьев Даниил Маркович,1968-02-20,"197136, Санкт-Петербург г, Лахтинская ул, дом  3",2021-04-29,RUB,52375.11
Волкова Вероника Дмитриевна,1986-09-14,"192019, Санкт-Петербург г, Седова ул, дом  11",2021-02-23,RUB,29730.58
Мельникова Нина Александровна,1978-11-18,"195297, Санкт-Петербург г, Просвещения пр-кт, дом  78",2021-01-10,EUR,503.77
Потапов Лев Эмирович,1995-01-11,"121354, Москва г, Витебская ул, дом  3, корпус  1",2021-08-28,RUB,38245.64
Мещеряков Виктор Ильич,1999-06-23,"115035, Москва г, Овчинниковская наб, дом  8, корпус  2",2021-03-01,RUB,98026.12
Никольский Егор Алексеевич,1951-02-09,"125315, Москва г, Амбулаторный 1-й проезд, дом  5, корпус  2",2021-06-27,USD,866.86
Алексеева Виктория Ивановна,1985-07-06,"190068, Санкт-Петербург г, Римского-Корсакова пр-кт, дом  1",2021-09-02,RUB,136476.32
Алексеева Виктория Ивановна,1985-07-06,"125475, Москва г, Петрозаводская ул, дом  28, корпус  4",2021-03-27,USD,696.39
Леонтьев Роберт Тимофеевич,1995-10-10,"115193, Москва г, Кожуховская 7-я ул, дом  10, корпус  1",2021-01-12,RUB,97962.81
Зверев Денис Матвеевич,1975-04-26,"197082, Санкт-Петербург г, Оптиков ул, дом  51, корпус  1",2021-06-29,RUB,82730.5
Кулешова Николь Александровна,1973-07-20,"194044, Санкт-Петербург г, Гельсингфорсская ул, дом  3, корпус  z",2021-05-12,EUR,675.31
Казакова Стефания Леонидовна,1973-12-25,"119618, Москва г, Главмосстроя ул, дом  14",2021-08-09,RUB,40602.47
Трошина Алиса Ивановна,1975-10-19,"197373, Санкт-Петербург г, Шуваловский пр-кт, дом  63, корпус  2",2021-04-10,RUB,28277.01
Лебедева Александра Елисеевна,2002-01-03,"121087, Москва г, Филевская Б. ул, дом  3, корпус  1",2021-05-11,RUB,30141.79
Клюев Лев Александрович,1983-02-13,"125057, Москва г, Алабяна ул, дом  11",2021-08-10,RUB,79140.05
Кочеткова Анна Владимировна,2000-11-05,"119602, Москва г, Академика Анохина ул, дом  34, корпус  2",2021-04-08,USD,535.17
Зотова Елизавета Рафаэльевна,1983-08-14,"197373, Санкт-Петербург г, Шуваловский пр-кт, дом  63, корпус  2",2021-03-06,RUB,15296.27
Вавилов Никита Максимович,2002-01-12,"127562, Москва г, Алтуфьевское ш, дом  32",2021-11-10,RUB,63398.8
Майорова Дарья Александровна,1972-03-12,"125212, Москва г, Ленинградское ш, дом ",2021-10-01,RUB,96574.46
Козлова Варвара Александровна,1960-11-26,"109147, Москва г, Факельный Б. пер, дом ",2021-07-16,USD,322.38
Сомова Полина Константиновна,1964-11-20,"127422, Москва г, Тимирязевская ул, дом  13",2021-01-21,RUB,67240.9
Исаев Максим Викторович,1975-05-19,"111250, Москва г, Солдатский пер, дом  2",2021-09-14,RUB,27201.2
Андреев Ярослав Сергеевич,1950-03-06,"143500, Московская обл, Истринский р-н, Истра г, Рябкина ул, дом  38 А",2021-08-05,RUB,9393.37
Кулешова Николь Александровна,1973-07-20,"694051, Сахалинская обл, Долинский р-н, Долинск г, Пионерская ул, дом  4Б",2021-12-02,USD,1220.13
Горшкова Тамара Ильинична,1994-10-07,"107061, Москва г, Пугачевская 2-я ул, дом  10, корпус  1",2021-10-04,RUB,98597.81
Емельянов Артемий Егорович,1998-12-02,"191124, Санкт-Петербург г, Смольный пр-кт, дом  17",2021-03-31,RUB,45861.64
Петровская Алина Ивановна,1980-11-27,"119192, Москва г, Мичуринский пр-кт, дом  11, корпус  3",2021-11-11,RUB,142807.14
Маслова София Ярославовна,2000-01-31,"117485, Москва г, Профсоюзная ул, дом  98, корпус  6",2021-10-04,RUB,9143.97
Александров Александр Артемьевич,1988-02-16,"Ростовская обл, Ростов-на-Дон",2021-12-14,RUB,499548.49
Андреева Александра Ивановна,1979-04-28,"142111, Московская обл, Подольск г, Юных Ленинцев пр-кт, дом  59",2021-09-20,RUB,49639.4
Кудрявцева Александра Михайловна,1997-12-02,"196191, Санкт-Петербург г, Ленинский пр-кт, дом  164",2021-11-22,RUB,88254.3
Серов Тимофей Михайлович,2001-04-17,"119333, Москва г, Вавилова ул, дом  44, корпус  3",2021-08-02,RUB,47286.4
Комаров Даниил Алексеевич,1989-10-15,"693023, Сахалинская обл, Южно-Сахалинск г, Комсомольская ул, дом  273б",2021-01-30,RUB,45604.72
Мальцев Ярослав Львович,1986-08-11,"115516, Москва г, Бехтерева ул, дом  31, корпус  3",2021-10-20,RUB,203127.31
Лебедева Александра Елисеевна,2002-01-03,"142611, Московская обл, Орехово-Зуево г, Пролетарская ул, дом  20",2021-03-31,RUB,37639.94
Сахаров Александр Егорович,1953-06-05,"196620, Санкт-Петербург г, Павловск г, Новая (Динамо) ул, дом  10",2021-09-07,RUB,34097.72
Гусева Полина Максимовна,1990-07-03,"119136, Москва г, Сетуньский 2-й проезд, дом  17",2021-09-01,USD,1938.52
Новикова Майя Михайловна,1952-05-13,"117556, Москва г, Варшавское ш, дом  69, корпус  1",2021-07-12,RUB,15104.57
Кузнецов Матвей Ярославович,1975-06-23,"197375, Санкт-Петербург г, Щербакова ул, дом  27, корпус  1",2021-10-26,RUB,85697.39
Беляев Дмитрий Степанович,1970-04-17,"129327, Москва г, Шушенская ул, дом  12",2021-01-26,RUB,34357.82
Майорова Дарья Александровна,1972-03-12,"119027, Москва г, Внуковское п, дом  14, корпус  3",2021-07-19,USD,257.89
Шаров Тимур Львович,1968-03-26,"109129, Москва г, Текстильщиков 8-я ул, дом  13, корпус  2",2021-12-31,RUB,213154.81
Греков Валерий Алексеевич,1993-08-16,"115583, Москва г, Воронежская ул, дом  3",2021-04-23,EUR,121.51
Смирнова Лидия Елисеевна,1964-06-10,"117216, Москва г, Дмитрия Донского б-р, дом  18/4",2021-08-20,RUB,39459.02
Лопатин Артём Андреевич,1996-09-09,"125480, Москва г, Героев Панфиловцев ул, дом  3, корпус  1",2021-10-30,EUR,495.4
Алексеева Виктория Михайловна,1991-12-04,"195027, Санкт-Петербург г, Свердловская наб, дом  58",2021-02-26,RUB,87680.87
Артамонова Анна Игоревна,1962-05-05,"141107, Московская обл, Щелковский р-н, Щелково г, Финский мкр, дом  9, корпус  2",2021-03-29,RUB,29266.31
Зайцева Татьяна Алиевна,1956-06-21,"142180, Московская обл, Климовск г, Зеленый проезд, дом  94Б",2021-05-02,EUR,195.46
Ермолаев Сергей Юрьевич,1995-03-27,"105203, Москва г, Первомайская ул, дом  109/2",2021-03-04,RUB,80747.15
Шаповалов Тимур Максимович,1964-11-09,"105094, Москва г, Госпитальный Вал ул, дом  5, корпус  18",2021-11-24,RUB,61343.67
Рудаков Артём Иванович,1987-07-01,"127474, Москва г, Бескудниковский б-р, дом  6, корпус  4",2021-09-03,RUB,121256.76
Маслова София Ярославовна,2000-01-31,"199178, Санкт-Петербург г, 15-я В.О. линия, дом  10/53",2021-12-29,RUB,21346.8
Муравьев Даниил Борисович,1991-07-25,"197372, Санкт-Петербург г, Гаккелевская ул, дом  18, корпус  1",2021-01-26,RUB,91739.44
Рудаков Артём Иванович,1987-07-01,"192029, Санкт-Петербург г, Ольги Берггольц ул, дом  7, корпус  2",2021-01-15,RUB,13816.82
Исаев Максим Викторович,1975-05-19,"117630, Москва г, Академика Челомея ул, дом  4",2021-03-27,RUB,133881.7
Токарева Анна Александровна,1987-08-13,"195299, Санкт-Петербург г, Гражданский пр-кт, дом  117, корпус  1",2021-08-30,RUB,62818.93
Андреев Глеб Иванович,1962-11-10,"119618, Москва г, 50 лет Октября ул, дом  21",2021-07-10,RUB,24026.43
Морозова Виктория Данииловна,1969-07-16,"194354, Санкт-Петербург г, Есенина ул, дом  1, корпус  1",2021-07-12,RUB,120021.82
Сорокина Милана Ильинична,1979-07-07,"121353, Москва г, Сколковское ш, дом  22, корпус  1",2021-05-05,EUR,1136.29
Казаков Михаил Фёдорович,1970-11-08,"109652, Москва г, Луговой проезд, дом  7",2021-10-01,RUB,78786.67
Смирнов Глеб Андреевич,1957-10-03,"142201, Московская обл, Серпухов г, Красный Текстильщик ул, дом  2",2021-11-03,RUB,60583.07
Терентьев Георгий Максимович,1988-04-26,"129272, Москва г, Трифоновская ул, дом  45",2021-07-07,RUB,60861.76
Кондратьев Максим Саввич,1994-02-20,"111531, Москва г, Сталеваров ул, дом  4, корпус  3",2021-10-26,RUB,78009.6
Макарова Арина Дмитриевна,1957-01-11,"193168, Санкт-Петербург г, Дыбенко ул, дом  18, корпус  1",2021-03-30,EUR,579.36
Маркин Дмитрий Романович,1983-08-23,"192236, Санкт-Петербург г, Софийская ул, дом  40, корпус  1",2021-01-18,EUR,1296.1
Гаврилов Владимир Даниилович,1958-07-25,"117418, Москва г, Новочеремушкинская ул, дом  50",2021-05-18,RUB,43150.42
Яшин Александр Михайлович,1966-08-27,"121357, Москва г, Аминьевское ш, дом  18, корпус  2",2021-12-15,USD,1786.69
Винокурова Екатерина Сергеевна,1974-05-19,"141707, Московская обл, Долгопрудный г, Лихачевское ш, дом  22",2021-12-30,RUB,13264.59
Федорова Александра Алексеевна,1990-05-02,"127206, Москва г, Дмитровский проезд, дом  20, корпус  1",2021-04-23,USD,1629.78
Горбунов Александр Вячеславович,1999-08-29,"693007, Сахалинская обл, Южно-Сахалинск г, Комсомольская ул, дом  190 а",2021-11-30,RUB,112854.72
Кузин Никита Артёмович,1977-03-16,"142001, Московская обл, Домодедово г, Северный мкр, Гагарина ул, дом  45",2021-02-25,EUR,636.84
Авдеев Дмитрий Дмитриевич,1976-11-09,"119571, Москва г, Вернадского пр-кт, дом  94, корпус  1",2021-04-01,RUB,46285.11
Родионов Денис Александрович,1983-08-19,"125167, Москва г, Ленинградский пр-кт, дом  36, корпус  36",2021-04-13,RUB,115152.23
Беляева Вероника Александровна,1994-03-08,"142117, Московская обл, Подольск г, Октябрьский пр-кт, дом  7А",2021-10-21,RUB,107133.9
Морозова Ева Юрьевна,1963-05-19,"115191, Москва г, Духовской пер, дом  20, корпус  Б",2021-09-02,USD,414.09
Шишкин Даниэль Ильич,1965-07-15,"109125, Москва г, Волжский б-р, дом  11",2021-01-22,RUB,77248.07
Денисов Николай Дмитриевич,1977-12-18,"196602, Санкт-Петербург г, Пушкин г, Малиновская ул, дом  9",2021-12-18,USD,1528.32
